lig_name,LF Rank Score,LF dG,LF VSscore
MAR-UCB-f313ec4d-3	MAR-UCB-f313ec4d-3			85.4110911			93.55554980000001	4_D,-6.676,-6.631,-8.088
MAR-UCB-f313ec4d-4	MAR-UCB-f313ec4d-4			99.0			99.5						False	False	qui_D,-6.745,-8.128,-9.429
MAR-UCB-f313ec4d-6	MAR-UCB-f313ec4d-6			7.253696289			5.445603646	5.2639_D,-6.716,-6.982,-8.464
ERI-UCB-a0b0dbcb-2	ERI-UCB-a0b0dbcb-2		65.66	2.189516277			2.164059157	5_D,-6.634,-7.811,-8.991
ERI-UCB-a0b0dbcb-4	ERI-UCB-a0b0dbcb-4		70.965	5.646474913			3.7997194889_D,-10.173,-6.549,-9.099
ERI-UCB-a0b0dbcb-6	ERI-UCB-a0b0dbcb-6			99.0			99.5					0.0	False	False_D,-6.748,-7.929,-11.853
ERI-UCB-a0b0dbcb-8	ERI-UCB-a0b0dbcb-8			99.0			99.5					97.95835752	Fals_D,-6.680,-7.353,-8.699
ERI-UCB-a0b0dbcb-9	ERI-UCB-a0b0dbcb-9			99.0			99.5					82.81528228	Fals_D,-6.830,-7.500,-11.460
ERI-UCB-a0b0dbcb-11	ERI-UCB-a0b0dbcb-11			99.0			27.33890134	4.563218942_D,-6.316,-6.905,-8.471
MAT-POS-173a45da-1	MAT-POS-173a45da-1			1.021087492			2.112459232	5.6752_D,-7.391,-9.391,-10.880
PET-UNK-3c72d439-1	PET-UNK-3c72d439-1			11.38068911			3.397268248	5.4688_D,-7.314,-7.446,-8.660
PET-UNK-372a2f82-1	PET-UNK-372a2f82-1			9.391013402			5.040787149	5.2975_D,-7.695,-9.131,-10.671
MAT-POS-8e4737f4-1	MAT-POS-8e4737f4-1			23.97622604			19.49828661	4.7100_D,-7.652,-8.246,-9.493
MAT-POS-8e4737f4-2	MAT-POS-8e4737f4-2			37.72080209			99.5						False	Fa_D,-7.470,-8.169,-9.332
MAT-POS-afd4d4fd-2	MAT-POS-afd4d4fd-2			99.0			40.65039805	4.390935197_D,-7.384,-7.453,-8.623
ROB-IMP-e811baff-1	ROB-IMP-e811baff-1			15.32726065			1.420429612	5.8475_D,-12.215,-8.848,-10.139
PET-UNK-1901c25b-1	PET-UNK-1901c25b-1			0.834210572			0.284634014	6.5457_D,-12.050,-7.858,-9.334
